"","PreCG_L_SA","SFGdor_L_SA","ORBsup_L_SA","MFG_L_SA","ORBmid_L_SA","IFGoperc_L_SA","IFGtriang_L_SA","ORBinf_L_SA","ROL_L_SA","SMA_L_SA","OLF_L_SA","SFGmed_L_SA","ORBsupmed_L_SA","REC_L_SA","INS_L_SA","ACG_L_SA","DCG_L_SA","PCG_L_SA","PHG_L_SA","CAL_L_SA","CUN_L_SA","LING_L_SA","SOG_L_SA","MOG_L_SA","IOG_L_SA","FFG_L_SA","PoCG_L_SA","SPG_L_SA","IPL_L_SA","SMG_L_SA","ANG_L_SA","PCUN_L_SA","PCL_L_SA","HES_L_SA","STG_L_SA","TPOsup_L_SA","MTG_L_SA","TPOmid_L_SA","ITG_L_SA","PreCG_R_SA","SFGdor_R_SA","ORBsup_R_SA","MFG_R_SA","ORBmid_R_SA","IFGoperc_R_SA","IFGtriang_R_SA","ORBinf_R_SA","ROL_R_SA","SMA_R_SA","OLF_R_SA","SFGmed_R_SA","ORBsupmed_R_SA","REC_R_SA","INS_R_SA","ACG_R_SA","DCG_R_SA","PCG_R_SA","PHG_R_SA","CAL_R_SA","CUN_R_SA","LING_R_SA","SOG_R_SA","MOG_R_SA","IOG_R_SA","FFG_R_SA","PoCG_R_SA","SPG_R_SA","IPL_R_SA","SMG_R_SA","ANG_R_SA","PCUN_R_SA","PCL_R_SA","HES_R_SA","STG_R_SA","TPOsup_R_SA","MTG_R_SA","TPOmid_R_SA","ITG_R_SA"
"SPG_L_SA",0.7541,1,0.9005,1,1,1,0.0928,1,1,1,0.7459,0.7175,0.8931,1,0.994,1,1,0.8384,0.6106,0.7123,1,1,1,1,0.0605,0.6421,1,1,1,1,0.6071,1,1,0.0757,1,1,1,0.8473,1,1,1,1,0.791,0.8306,1,0.7904,1,0.9534,1,0.8935,1,1,1,0.8575,0.5885,0.803,0.915,1,0.7089,0.782,0.8009,1,1,0.9096,0.8809,0.9984,1,0.9423,1,0.9563,0.9763,0.6367,0.6574,1,1,0.8156,0.6353,1
"IPL_L_SA",0.6716,1,0.8541,0.7934,0.7763,1,1,1,1,0.9274,1,0.6761,0.7126,1,1,0.7814,1,1,1,1,1,1,0.6332,1,0.7121,1,1,1,1,0.7387,0.9102,0.901,1,0.5363,0.9821,1,0.8972,1,1,1,0.7328,1,0.8873,0.6065,1,1,0.6872,0.8437,0.6889,1,0.7645,0.9939,1,0.8867,0.9268,0.6271,0.3348,1,0.6234,0.9532,1,1,0.8703,1,0.6362,0.894,0.8915,0.8275,0.7478,0.7791,0.9852,0.6502,0.9133,0.7693,1,0.886,1,1
"SMG_L_SA",1,0.9152,0.8711,1,0.8401,0.7486,1,0.9062,1,0.7795,1,1,1,1,0.8574,0.7582,0.8647,0.423,1,0.89,0.6586,0.596,0.2018,1,0.8378,1,0.7959,1,0.7131,1,1,1,0.2204,0.7624,0.5623,0.851,0.6435,0.8787,0.8909,0.6379,0.8054,1,1,1,0.6965,1,0.6073,0.6892,0.5724,0.4903,1,1,0.9167,0.9445,1,0.9489,0.1086,0.828,0.9977,0.9649,0.4853,1,0.7522,1,0.6695,0.8302,0.4717,0.955,1,0.7002,0.9196,0.5944,0.3001,0.6267,1,1,0.7685,0.7945
"ANG_L_SA",1,1,1,0.7993,0.3634,1,0.1052,0.8446,0.6338,1,0.9493,0.5925,0.7292,0.7394,0.9747,0.7248,0.8384,0.937,1,1,1,1,1,1,1,0.8061,1,0.5608,0.9015,1,1,0.7895,0.9106,0.5163,0.7021,0.6823,0.8183,1,0.9922,0.8447,0.8978,0.9203,0.8477,0.3924,1,0.7929,1,0.7129,0.4809,0.6156,1,1,0.9319,0.8726,0.6421,0.3944,0.9586,1,0.7096,0.9203,1,1,0.7867,1,0.8029,0.7421,1,0.601,0.9255,0.9274,0.9282,0.5739,0.9516,0.8474,1,0.8333,0.8547,0.9351
"PCUN_L_SA",1,1,1,1,0.9335,1,0.8383,1,1,1,1,1,0.9448,1,1,0.6846,1,1,1,1,0.8273,1,1,0.79,0.8708,1,1,1,0.9275,1,0.7845,1,1,0.9683,0.9297,0.7222,1,0.9802,0.9652,1,1,1,1,1,0.6316,0.9835,0.9262,0.8684,0.9495,0.6159,0.9157,1,1,0.9483,1,1,0.778,1,1,1,0.8753,1,0.9844,0.5206,0.9688,1,0.9682,1,1,0.9886,1,1,0.9452,0.8781,1,0.9763,0.7353,0.9452
"PCL_L_SA",0.9698,1,1,0.919,0.8196,0.5777,0.8383,1,0.9388,0.9638,1,1,0.8919,1,0.8881,0.7343,0.575,1,0.7321,0.8554,0.8675,1,0.6778,0.69,0.4945,0.6732,0.9475,1,1,0.2154,0.8856,0.984,1,0.2044,0.7541,0.6488,0.6428,0.8789,0.7816,0.6376,0.9607,1,1,0.9813,1,0.0312,1,0.875,0.8458,0.946,0.9466,1,0.931,0.9128,0.5789,0.9135,1,0.2878,1,0.3818,0.6224,0.7871,0.8167,0.7653,0.7627,0.9694,0.9156,1,0.8845,0.6312,0.9096,0.9878,0,0.8226,0.5,1,0.0701,0.8904
"HES_L_SA",0.9405,1,1,0.9499,0.1633,0.4567,0,0,0.7766,0.8306,0.7199,0.6186,0.4095,1,0.3999,0.4542,0.5267,1,0.7097,0.3566,1,0.5449,1,0.6408,0,0.4153,0.9168,0.0445,0.4567,0.7814,0.4127,1,0.3084,1,0.6352,1,0.64,0.0091,0.6224,1,0.844,0.3007,0.8203,0.8883,1,0,0.2126,0.2758,0.6597,0,1,0.7124,0.5627,0.3063,0.935,0.3436,1,0.5862,1,1,0.2247,0.522,0,0.2818,0.738,0.9264,0.5938,0.5127,1,0.9565,0.82,0,7e-04,0.9774,0.7998,0.6952,0.0116,1
"STG_L_SA",1,0.871,0.9593,0.8884,0.7534,1,0.1405,0.9236,1,0.456,0.7995,0.6933,1,1,0.8862,1,0.9924,0.3387,0.8176,0.8381,0.9806,0.8353,1,1,0.1551,0.8928,0.9786,0.9227,0.8595,0.4596,0.5111,0.8477,0.7417,0.6286,1,1,0.929,0,0.8658,0.8133,0.8093,0.9718,1,0.9891,1,0.9314,0.6509,0.82,0.8176,0.1145,0.8713,0.9639,0.7964,0.9636,0.959,1,0.2898,0.7355,0.85,1,0.9353,1,0.8335,0.8261,0.7036,1,0.2702,1,0.9977,0.8349,0.8601,0.6836,0.6905,0.937,0.8417,1,0.3262,0.9618
"TPOsup_L_SA",0.9713,1,0.8381,0.9689,1,0.5951,1,1,0.8986,0.8283,1,0.8829,0.7989,0.4609,1,0.4979,1,0.2981,1,1,0.7808,0.175,1,0.6451,0.3635,1,0.8579,1,1,0.6923,0.6349,0.6403,0.6002,1,1,1,1,0.8692,1,0.91,1,1,0.7649,1,0.7346,0.3182,1,0.9477,1,1,0.9912,1,1,1,1,1,0.4065,0.9028,1,0.8094,1,0.7125,1,0.8316,0.9327,1,0.755,0.8206,1,0.4662,0.9847,1,0.4119,0.7721,0.8381,0.8994,0.7349,1
"MTG_L_SA",1,1,0.9921,0.7934,0.8878,0.9327,1,1,0.72,1,1,0.8366,0.9899,1,0.8547,0.5987,0.7358,1,0.9747,0.645,1,1,1,0.8344,0.825,1,0.8324,0.9773,0.8089,0.5496,0.7138,1,0.6548,0.6488,0.9245,1,1,1,1,0.979,0.8952,0.8092,0.9345,0.9603,1,0.6536,0.78,0.8707,0.6979,0.6365,1,0.7475,0.8008,0.8298,1,0.7264,1,0.9153,0.8436,0.8404,0.9059,0.7736,0.6893,1,0.7878,0.8339,0.6807,0.7378,0.8074,0.7914,1,0.545,0.7751,0.9194,0.9537,0.965,0.4552,1
"TPOmid_L_SA",0.9078,0.9955,1,1,0.0519,0.806,0,0.2708,1,1,0.7507,0.996,0.0258,0.4585,1,0.8999,1,0.5766,1,0.5441,0.6447,0.5213,0.7454,0.9592,1,0.5949,1,0.8009,1,1,1,0.9629,0.9678,0.2394,0,0.9205,1,1,1,1,0.9245,1,0.8075,1,0.4182,0.8576,0.8549,1,1,0.7231,1,1,1,0.326,0.5756,0.9647,1,1,1,0.4967,0,1,1,0.8979,1,1,1,0.9691,1,0.4633,1,0.9559,0,0.8587,1,0.9872,0.8318,0.9517
"ITG_L_SA",1,0.7061,1,1,1,1,0.5278,0.6792,1,0.7672,0.8675,0.9189,1,0.9665,0.9341,1,0.89,1,1,1,1,0.7643,1,1,0.851,0.9935,1,1,1,0.9027,0.9682,0.9563,0.8389,0.6138,0.9286,1,1,1,1,1,0.9702,1,1,1,0.9199,0.2781,0.8394,1,0.9243,1,1,1,0.7684,1,0.8705,0.8686,0.9588,0.7976,0.982,0.8073,0.9358,1,0.8038,0.9965,0.9554,1,1,0.7282,1,0.9272,0.9355,0.8147,0.7101,1,0.9531,0.9446,0.9714,0.9421
"PreCG_R_SA",0.9628,0.9964,0.7704,0.9894,0.6948,1,0.902,1,1,1,1,0.9602,1,0.8853,1,1,1,0.7486,1,0.8963,1,1,1,0.5363,0.5993,0.9989,0.8856,0.9343,1,0.5689,0.6484,1,0.6439,1,0.8628,0.9165,1,1,1,1,0.9922,1,1,1,1,1,1,0.9388,0.8536,1,0.9529,1,1,1,0.9007,1,0.6526,0.789,0.959,0.9648,0.9006,1,0.992,0.8539,0.7532,0.822,1,1,0.8078,1,1,0.9705,0.7526,0.8927,1,1,0.8283,0.8975
"SFGdor_R_SA",0.9768,0.9548,0.9042,1,1,1,1,1,0.7913,0.8803,0.5513,0.9247,1,1,0.8721,0.7596,1,1,0.9913,1,1,1,0.6012,0.5811,0.7306,1,1,1,0.6499,0.7529,0.812,1,0.9885,0.8438,0.8686,1,0.9537,0.8297,0.9581,1,1,1,1,1,1,1,0.7543,0.7837,0.821,0.9858,0.7505,1,1,0.701,0.7931,1,0.9911,0.7273,1,0.8065,1,1,0.9161,0.7208,0.7806,1,1,0.9001,0.7176,0.8612,0.8277,0.9525,1,0.8385,0.9473,0.9286,0.9335,1
"ORBsup_R_SA",1,0.8926,0.9056,0.868,0.6755,1,0.7758,0.7361,0.9029,1,0.9163,1,0.3005,0.3675,0.9683,0.8179,0.5603,1,1,1,0.612,1,0.9891,0.7374,0.9115,1,1,1,1,1,0.9149,1,1,0.2989,1,1,0.8776,1,1,1,1,1,1,0.7597,0.8166,0.8305,1,0.5033,1,0.9413,1,0.5031,0.5925,0.9414,0.9223,1,1,0.5803,1,0.9685,0.6748,1,1,0.3291,0.8039,0.8539,0.762,0.6034,0.7,1,1,0.656,0.616,1,0.6845,0.9718,0.5029,1
"MFG_R_SA",1,1,1,0.9254,0.6303,1,1,1,1,1,1,1,0.9586,0.9636,1,0.71,0.9011,1,1,1,0.7752,0.9375,1,0.6963,0.5493,0.9248,1,0.8314,0.8807,1,0.8168,1,1,0.8236,1,0.8626,0.9863,0.8416,1,1,1,1,1,1,1,1,1,0.9518,1,0,1,1,1,1,1,0.9041,1,1,1,1,1,1,0.8931,0.536,0.9148,0.9591,1,1,0.7748,1,1,1,0.7183,0.7759,0.9698,1,0.5396,1
"ORBmid_R_SA",1,1,0.8812,0.8782,0.7831,1,1,0.9255,1,1,0.6391,0.9072,0.463,0.7183,0.9111,0.9356,0.5065,1,0.8317,0.9341,1,1,0.9112,0.7896,0.9073,0.6317,1,0.8301,0.674,1,0.4566,1,1,0.8703,1,1,1,1,1,1,1,0.7947,1,1,1,1,0.765,0.9314,1,0.8102,1,0.6966,0.6462,0.7464,0.8457,0.9013,1,1,0.9564,1,0.7906,1,1,0.577,0.9017,0.7665,1,0.864,0.6727,1,1,1,0.293,0.6962,1,1,0.9101,1
"IFGoperc_R_SA",0.9829,0.8688,0.988,1,1,1,0.9234,0.507,1,0.5663,1,1,0.7377,0.6379,1,0.2171,1,1,0.8331,1,0.862,0.3847,0.4816,0.4901,1,1,0.9317,1,0.9811,0.6298,1,0.6068,1,1,1,0.763,1,0.2457,0.8958,1,1,0.8001,1,1,1,0.794,0.2656,0.7176,0.5288,0.126,0.9085,0.8915,0.7244,0.6216,1,0.9599,0.6394,1,0.9028,1,0.2305,1,1,0.7664,1,1,1,1,0.8464,1,1,1,0.4388,1,0.7619,0.7012,0.8566,0.9504
"IFGtriang_R_SA",0.9257,0.5588,0.9999,1,0.7478,0.7671,0.5221,0.0644,0.8567,1,1,0.8109,0.6596,0.5452,0.6638,0.9536,0,0.9728,1,0,0.9614,0,1,0.411,0.7672,0.9778,0.6452,0.7286,1,1,0.6028,0.8944,0.2182,0,0.9721,0.4779,0.6371,0.7104,0.2412,1,1,0.779,1,1,0.7923,1,1,1,0.7657,0.2508,1,0.949,0.5212,0.997,0.8702,0.8154,1,0.3302,0.848,0.901,1,0,0.7822,0.7298,0.9045,1,0.1591,0.2648,0.6468,0.1302,0.7439,0,0,1,0.7631,0.4646,0.2917,0.9773
"ORBinf_R_SA",0.8928,0.9509,0.9588,1,1,1,0.4428,0.5933,0.9964,0.4997,0.8727,0.9242,1,1,0.6155,1,0.6522,1,0.524,0.7967,0.7492,0.9617,0.8636,0.8209,1,1,1,1,0.6864,0.66,1,0.9463,1,0.2762,0.7493,1,0.8848,0.8377,0.878,1,0.8419,1,1,0.7497,0.3096,1,1,1,1,0.6636,0.6031,0.9164,0.7041,0.5425,1,0.9414,0.851,1,0.8195,0.5679,0.5125,0.9647,0.7073,1,0.8261,0.9855,1,0.7251,0.662,0.7722,1,1,0.2905,1,0.8957,0.9489,0.6992,1
"ROL_R_SA",0.9756,0.8114,0.9811,1,0,0.8509,0.6831,0.994,0.9178,0.8584,0.7657,0.9151,0.2453,0.4876,0.9856,0.3326,1,1,1,0.8527,0.9935,1,0.6827,0.4455,0.6712,0.7817,1,0.9286,0.8718,0.7231,0.7314,0.8763,0.8772,0.3169,0.9103,1,0.9389,1,1,1,0.8374,0.5374,0.902,0.8931,0.7494,1,1,1,0.7357,0.5785,0.9282,0.7855,0.9062,0.9029,0.8133,0.6646,0.2924,0.9316,1,1,0.7707,0.9161,1,0.5794,0.7995,0.6206,1,0.9386,0.9718,1,0.8985,0.937,0.5729,0.8786,0.7739,0.8639,0.402,0.9863
"SMA_R_SA",0.8933,0.8841,0.8351,0.9124,0.9028,1,1,1,0.9969,0.8911,0.9336,0.7094,0.9298,1,0.8558,0.9111,0.9155,0.3583,1,0.777,1,1,0.3379,0.5404,0.8911,1,0.9833,1,0.6247,0.5423,0.2891,0.9183,0.8647,0.6589,0.8488,1,0.7286,1,0.8815,0.8739,0.808,1,1,1,0.4959,0.7369,0.9134,0.6667,1,0.0998,0.9865,1,1,0.7223,0.9223,1,0,0.6033,0.5105,0.8801,0.371,1,0.8265,0.6551,0.7963,0.814,0.8606,0.5091,0.6902,0.6097,0.9565,0.6282,0.5122,0.7077,1,0.8607,0.8151,1
"OLF_R_SA",0.9414,0.2652,0.4068,1,0.4492,0.9919,0.3644,0.0696,1,0.9475,0.7423,0.7423,0.4808,0.455,0.3571,0.3592,1,1,0.509,0.984,0.7986,1,0.3528,0.8572,1,1,1,0.8322,0.9946,0.4708,0.6007,0.5954,0.9325,0,0.1303,1,0.6512,0.6397,1,1,1,0.9464,1,0.7767,0.1552,0.2678,0.6618,0.5646,0.1259,1,1,1,0.666,0.2225,0.1506,1,0,0.6305,0.7233,1,1,1,1,1,0.2646,0.9659,0.4278,0.8087,0.943,0.737,0.6123,0,9e-04,0.2094,1,0.3952,0,1
"SFGmed_R_SA",0.9677,0.998,0.8124,0.9213,0.5097,1,0.8446,1,1,0.7135,0.9874,0.9146,0.7846,1,1,0.7336,1,1,0.8612,1,0.5253,0.8406,1,0.3341,0.2394,1,0.7784,1,0.7042,1,1,0.8678,0.9665,1,0.9086,1,1,0.9743,1,0.9517,0.7291,0.9816,1,1,0.8721,1,0.4504,0.8302,0.9919,1,1,0.9541,0.9551,0.8211,0.9843,1,0.4439,1,1,0.7164,1,0.898,0.8265,0.827,0.7861,0.7694,1,0.7033,0.4959,0.8893,1,1,0.9668,1,0.9185,0.9958,0.4348,0.9866
"ORBsupmed_R_SA",1,0.953,0.9966,1,0.6626,1,0.7716,0.8689,0.9862,0.9385,1,1,0.9924,0.8162,1,0.7912,0.8762,1,1,0.9577,0.9111,1,1,0.9097,0.3909,1,1,1,1,1,1,1,1,0.6584,1,1,0.8295,1,1,1,1,0.5215,1,0.6793,0.9384,1,0.9103,0.7755,1,1,1,1,0.5085,0.8399,1,1,0.793,0.9524,0.9679,1,0.8741,1,1,0.676,0.7557,1,0.8591,0.5657,0.8463,1,1,0.8885,0.5821,0.9268,1,0.9586,0.3348,1
"REC_R_SA",1,0.6942,0.9622,1,0.6799,1,0.2892,0.7107,1,0.8437,0.9023,1,1,0.6751,0.868,0.93,0.5856,1,0.946,1,0.7158,1,0.8916,0.6656,0.7112,1,0.8639,0.9875,1,0.9323,0.9447,1,0.9691,0.4973,0.8948,1,0.8943,1,0.7871,1,1,0.6125,1,0.6126,0.7256,0.6146,0.7258,0.9021,1,0.6556,1,0.5013,1,0.6984,1,1,1,0.7883,0.8783,1,0.6177,1,1,0.1831,0.6402,0.9129,0.8504,0.7726,0.7236,1,1,0.8559,0.0722,1,0.9691,0.9098,0.4429,0.7453
"INS_R_SA",0.9214,0.7988,0.7255,1,0.7521,0.8331,0.7703,0.3422,0.753,0.9151,0.6319,0.7304,0.8606,1,0.8133,0.6497,1,1,1,0.6885,0.7314,1,0.4335,0.233,0.9382,1,0.9261,0.8009,0.8534,0.9174,0.8265,0.9309,0.952,0.3,0.9932,1,0.843,0.2125,1,1,0.6932,0.9173,1,0.6793,0.6239,1,0.5086,0.8339,0.7249,0.2117,0.8211,0.7867,0.6803,1,0.9952,0.8539,0.697,0.7986,0.6803,0.9769,0.2591,0.9224,0.9141,1,0.6847,0.7058,0.8004,0.8539,0.3917,0.8651,0.8805,0.6212,0.4108,0.5215,0.9413,0.7456,0.9453,0.9229
"ACG_R_SA",0.8117,0.87,0.767,0.9442,0.8808,0.9994,0.0869,1,1,0.8539,0.7619,0.6812,0.4172,0.696,0.8378,0.7758,1,1,1,1,1,0.7538,0.7154,0.4674,0.829,0.8218,1,0.5768,0.9182,1,0.595,1,0.6585,0.9071,1,1,1,0.5465,0.887,0.9807,0.8548,0.9009,1,0.789,1,0.874,1,0.7971,1,0.1481,1,1,1,1,1,0.7088,1,0.4756,0.8251,1,1,1,0.8163,0.597,0.8863,1,1,0.7278,1,0.7592,0.7691,0.9491,0.5831,1,0.9719,0.9366,0.321,0.892
"DCG_R_SA",0.9441,1,0.9974,0.882,1,0.9299,0.753,1,0.9928,0.8041,0.8229,0.9618,0.8619,0.7961,0.9782,0.8998,0.917,1,0.762,0.9306,1,1,0.8443,0.5941,0.8074,0.8222,1,0.8024,0.6641,0.9855,0.4061,1,0.9304,0.4257,1,1,0.817,0.9482,0.9206,1,1,1,0.9055,0.869,1,0.8516,0.9537,0.7138,1,1,1,1,1,0.9163,0.7357,1,1,0.9694,0.845,0.9139,0.549,1,0.5813,0.5819,0.8225,0.9914,1,0.8969,0.501,1,1,0.8625,0.6784,1,0.7709,0.845,0.4479,1
"PCG_R_SA",0.9285,1,0.7672,0.8889,0.6552,1,0,1,1,1,1,0.9341,0.198,1,1,0,1,0.765,0.7376,0.8583,0.9117,0,0.0959,0.5358,0,1,1,0.9045,0.4106,0.141,0.9924,0.8041,1,1,0.4755,0.6491,1,1,0.9981,0.7252,1,1,1,1,0.8035,1,0.9019,0.3353,0,0,0.5263,0.904,1,0.8026,1,1,1,0.9088,0.732,1,1,1,1,0.6987,0.9591,0.6336,0.9219,1,0.8159,0.5137,0.714,0.943,0.9004,0.9108,1,1,0.2703,0.8813
"PHG_R_SA",1,0.6579,0.8966,0.8472,0.7979,0.7224,0.7646,0.6402,0.7865,0.8372,0.8385,0.7853,0.5189,0.4201,0.8237,0.8527,0.6251,1,0.9425,0.8434,1,0.5797,0.7658,0.8708,0.2195,0.9346,1,1,0.9794,0.8325,1,1,0.3933,0.6139,0.7822,0.9076,0.9413,1,0.7945,0.8335,0.7501,0.6253,1,1,1,0.4464,1,0.9315,0.6504,0.645,1,0.9194,0.754,0.8205,0.4987,0.9033,0.853,1,1,1,0.9817,1,1,1,0.5796,0.9853,0.8794,0.7301,0.6781,0.8024,0.8343,0.8468,0.2708,0.9248,1,1,0.831,1
"CAL_R_SA",0.9487,0.9677,1,1,1,1,0.2681,0.8244,1,1,0.6994,0.5994,1,1,0.9803,1,1,0.9774,0.7852,0.9217,1,1,0.7617,0.9218,0.8601,1,1,0.7757,0.5725,1,0.6459,1,1,1,0.9554,1,0.9447,1,0.9896,1,1,1,1,0.8752,0.9488,0.9035,0.7614,1,0.5684,0.7366,1,0.9207,0.8277,0.7159,0.8271,0.7956,0.6833,1,1,1,0.7644,1,1,0.7937,1,1,1,1,0.9531,0.6704,1,0.758,1,1,1,0.9915,0.7069,0.9784
"CUN_R_SA",0.8929,0.8087,0.8117,0.987,0.8706,0.6996,1,0.4383,0.9474,0.674,1,0.9669,0.9914,1,0.9472,0.0501,0.6011,0.6079,0.9358,0.5975,0.7737,1,0.7697,0.6759,0.6193,1,0.9299,0.7114,0.842,0.8549,0.6844,1,0.3699,1,1,0.7735,0.8335,0.3903,0.7414,0.9253,0.7266,0.9299,0.9425,0.9022,1,0.9254,0.3926,0.9207,0.8687,1,0.6399,1,1,0.9223,1,0.7692,1,1,1,1,0.8919,0.9293,0.7442,0.7984,0.8005,1,1,0.5572,0.8947,0.5321,0.7862,0.5101,1,1,0.537,0.769,0.4101,1
"LING_R_SA",1,0.6841,0.9484,1,0.8762,0.7338,0.7007,0.1685,1,1,0.8602,0.8915,0.8275,0.6715,0.9261,1,1,0.9191,0.9892,0.8907,0.8416,1,0.5146,0.6912,0.9815,1,0.8407,0.7482,1,0.6057,1,0.8431,0.6805,0.2982,1,1,1,0,1,1,1,0.7824,1,0.8391,0.4452,1,0.5192,0.7891,0.5111,1,1,0.9695,0.7842,0.4069,1,0.5848,1,1,0.8067,1,1,1,0.8411,0.9944,0.9299,1,0.9271,1,1,1,1,1,0,0.8481,0.9072,0.9198,0.0784,0.7026
"SOG_R_SA",1,1,1,1,0.8679,0.5915,0.6377,0.8986,0.8294,1,1,1,0.604,0,0.9504,1,0.1359,0.3862,1,0.8569,0.9761,1,0.954,0.7457,0.6274,1,0.968,1,1,1,1,1,0.8021,0.5822,1,0.8337,0.8203,1,1,1,1,1,1,1,1,0,0.9034,0.8741,1,0.7807,0.928,1,1,0.9006,1,1,1,1,1,0.9843,1,1,0.7195,1,1,0.8754,1,1,0.4599,0.8862,1,0.9639,0.5706,1,1,1,0.8892,1
"MOG_R_SA",0.9354,0.8847,0.9089,1,1,1,0.0571,0.7904,0.6655,0.8846,0.6172,0.7962,0.4054,0.827,0.8461,0.8359,0.9723,1,0.812,0.8312,0.8608,0.9262,1,0.6939,0.7609,1,1,1,0.8371,0.7013,0.7686,0.9698,0.7868,0,0.9257,1,0.8252,1,0.8244,1,0.9579,1,0.8755,1,1,0.7891,0.692,1,0.8728,1,0.888,1,1,0.9513,0.8021,0.5477,1,1,1,0.8105,0.7588,0.7246,1,1,1,1,1,1,0,1,0.9595,0.5401,0.7278,1,1,0.9573,0.4518,1
"IOG_R_SA",1,0.6783,0.914,0.9854,0.5435,1,0.7124,1,0.3706,0.4602,0.0504,0.5211,1,0,0.846,0.4009,1,1,1,0.8889,0.6856,0.6174,0.761,0.8144,0.7025,0.7584,0.9161,0.9577,1,1,1,0.5529,0.7057,0.3619,1,1,1,0.8631,1,1,0.8995,0.4643,0.6116,0.5582,0.8324,0.862,1,0.605,0.8899,1,1,0.7413,0.2133,1,0.6974,0.5891,0.7072,1,0.767,1,0.943,1,1,1,1,0.966,0.9285,0.6656,0.8261,1,0.9691,0.4923,0.6123,1,0.8154,1,0.9848,1
"FFG_R_SA",1,0.7647,0.8374,0.9602,0.5457,1,0.8564,0.8122,1,0.9326,0.7235,0.6167,0.6958,0.7107,0.9121,0.4625,0.9406,0.9727,1,0.8627,0.8858,0.9878,0.7763,0.732,0.5487,0.8033,1,0.8026,0.5751,0.6386,0.7191,0.9467,0.7829,0.7552,0.7837,0.9359,0.8531,1,0.9466,0.8137,0.801,0.7908,0.9064,0.8324,1,0.9146,0.7615,0.6695,0.8064,0.2673,0.8264,0.709,0.5748,0.7042,0.8368,0.745,0.9156,0.5948,1,0.8883,0.8466,1,1,0.91,1,0.7863,0.682,1,0.8066,0.7692,0.9006,0.7693,0.9203,0.9686,1,0.9771,0.8944,1
