"","PreCG.AF8.L.AF8.SA","SFGdor.AF8.L.AF8.SA","ORBsup.AF8.L.AF8.SA","MFG.AF8.L.AF8.SA","ORBmid.AF8.L.AF8.SA","IFGoperc.AF8.L.AF8.SA","IFGtriang.AF8.L.AF8.SA","ORBinf.AF8.L.AF8.SA","ROL.AF8.L.AF8.SA","SMA.AF8.L.AF8.SA","OLF.AF8.L.AF8.SA","SFGmed.AF8.L.AF8.SA","ORBsupmed.AF8.L.AF8.SA","REC.AF8.L.AF8.SA","INS.AF8.L.AF8.SA","ACG.AF8.L.AF8.SA","DCG.AF8.L.AF8.SA","PCG.AF8.L.AF8.SA","PHG.AF8.L.AF8.SA","CAL.AF8.L.AF8.SA","CUN.AF8.L.AF8.SA","LING.AF8.L.AF8.SA","SOG.AF8.L.AF8.SA","MOG.AF8.L.AF8.SA","IOG.AF8.L.AF8.SA","FFG.AF8.L.AF8.SA","PoCG.AF8.L.AF8.SA","SPG.AF8.L.AF8.SA","IPL.AF8.L.AF8.SA","SMG.AF8.L.AF8.SA","ANG.AF8.L.AF8.SA","PCUN.AF8.L.AF8.SA","PCL.AF8.L.AF8.SA","HES.AF8.L.AF8.SA","STG.AF8.L.AF8.SA","TPOsup.AF8.L.AF8.SA","MTG.AF8.L.AF8.SA","TPOmid.AF8.L.AF8.SA","ITG.AF8.L.AF8.SA","PreCG.AF8.R.AF8.SA","SFGdor.AF8.R.AF8.SA","ORBsup.AF8.R.AF8.SA","MFG.AF8.R.AF8.SA","ORBmid.AF8.R.AF8.SA","IFGoperc.AF8.R.AF8.SA","IFGtriang.AF8.R.AF8.SA","ORBinf.AF8.R.AF8.SA","ROL.AF8.R.AF8.SA","SMA.AF8.R.AF8.SA","OLF.AF8.R.AF8.SA","SFGmed.AF8.R.AF8.SA","ORBsupmed.AF8.R.AF8.SA","REC.AF8.R.AF8.SA","INS.AF8.R.AF8.SA","ACG.AF8.R.AF8.SA","DCG.AF8.R.AF8.SA","PCG.AF8.R.AF8.SA","PHG.AF8.R.AF8.SA","CAL.AF8.R.AF8.SA","CUN.AF8.R.AF8.SA","LING.AF8.R.AF8.SA","SOG.AF8.R.AF8.SA","MOG.AF8.R.AF8.SA","IOG.AF8.R.AF8.SA","FFG.AF8.R.AF8.SA","PoCG.AF8.R.AF8.SA","SPG.AF8.R.AF8.SA","IPL.AF8.R.AF8.SA","SMG.AF8.R.AF8.SA","ANG.AF8.R.AF8.SA","PCUN.AF8.R.AF8.SA","PCL.AF8.R.AF8.SA","HES.AF8.R.AF8.SA","STG.AF8.R.AF8.SA","TPOsup.AF8.R.AF8.SA","MTG.AF8.R.AF8.SA","TPOmid.AF8.R.AF8.SA","ITG.AF8.R.AF8.SA"
"SFGmed.AF8.R.AF8.SA","0.8765444","0.9976891","0.7407412","0.9503308","0.870331296557673","0.9927623","0.555167856492377","0.99715567162257","0.8058023","0.8251339","0.43250676","0.9999738","0.999963588422027","0.8454566998929","0.8094397","0.999977939673676","0.990900484278129","1","0.5226259","0.527610902502412","0.46839221","0.545340815504426","0.79599188449298","0.335619296748682","0.915341151248464","0.998959799290757","0.7405115","0.629381803021529","0.4534483","0.99983454","0.829836492","0.6986859","0.735883054434132","0.999999996860406","0.7193348","0.7826958","0.9654909","0.600413733074617","0.7132050","0.7984313","0.8191610","0.9992951","0.9589647","0.9645052","0.4967184","0.999017060337771","0.4461210","0.999997277064291","0.761451117649252","0.999999154556857","1","0.7794395","0.54336956","0.6659924","0.99858759","0.9999984","0.242178628781787","0.8050997","0.51215448","0.5387600","0.698557028974614","0.638170738970781","0.596285400788632","0.654628839295285","0.7290897","0.7733785","0.76003587","0.71317330828389","0.34921014","0.45098968","0.7930818","0.981878071801755","0.999999982714328","0.9993933","0.7692711","0.7845272","0.999991841002167","0.7753198"
"ORBsupmed.AF8.R.AF8.SA","0.9049234","0.8615037","0.8368645","0.8270158","0.865421554927864","0.7669224","0.530199943318528","0.767388003843594","0.7256901","0.6808736","0.62098482","0.9783642","0.999999782221942","0.600323162387932","0.8793569","0.999997792832291","0.790420732155407","0.8887272","0.9750627","0.512017957237703","0.49300065","0.45643578810484","0.510467861144221","0.695735921842824","0.99996399456458","0.981203469622906","0.8235950","0.830086130711127","0.5998468","0.99953533","0.572497372","0.8401092","0.851307448820605","0.999997956886467","0.7102141","0.7664796","0.6457442","0.99723324515211","0.7393859","0.8432456","0.8961642","0.7020484","0.8132197","0.8871590","0.6784886","0.906413171876574","0.9432831","0.755972289919671","0.921229372747364","0.99999986788488","0.8162428","1","0.80615342","0.6903354","0.99995570","0.9999964","0.439100447445882","0.6848200","0.53141831","0.6874725","0.364105373081227","0.768903289409182","0.720320822697538","0.421895474111918","0.6209988","0.7161663","0.67715469","0.563454962578173","0.51725422","0.55708764","0.8199591","0.855348964435264","0.999999978813647","0.8063505","0.8968840","0.6485580","0.99999991574922","0.6621992"
"REC.AF8.R.AF8.SA","0.6665263","0.4538878","0.7532644","0.9974837","0.583765251367069","0.7091323","0.177373961564461","0.483185018383296","0.6941711","0.5055829","0.60112758","0.7793308","0.999992601627801","0.58758409792072","0.5925197","0.999997520830156","0.511862713992657","0.7815319","0.6252067","0.425258467542183","0.37308478","0.448869847082079","0.368931398673741","0.536906947693531","0.997012025740606","0.738928227991411","0.5914181","0.588967484790788","0.8125256","0.78296984","0.478853563","0.6222440","0.774353080668184","0.999972720894393","0.5335732","0.6523875","0.5730051","0.529831717034514","0.4539741","0.6817432","0.6032720","0.6831081","0.6827190","0.5194031","0.5214824","0.702266772090036","0.5474348","0.892291103483047","0.622770840055558","0.999999783089434","0.5711981","0.7833019","1","0.4963497","0.72410742","0.8377678","0.494336047922695","0.5153704","0.42261879","0.6890050","0.163390276091618","0.511541981487828","0.646256931562168","0.073942085416266","0.4117900","0.6210760","0.54198178","0.720172532369496","0.42695354","0.44323013","0.6757385","0.627408653534531","0.999962438607772","0.9329409","0.6182637","0.5566911","0.999997745796866","0.4646230"
"INS.AF8.R.AF8.SA","0.6351673","0.6334585","0.6485072","0.8788564","0.630458833037993","0.8216761","0.600450580312737","0.312965551928541","0.5512191","0.6168392","0.32827304","0.6592093","0.99994250660043","0.999997066147839","1","0.643862683575739","0.804092524283074","0.6984757","0.9260207","0.362319218985413","0.37903073","0.500161958710722","0.228438842585327","0.18400154313499","0.888924217288382","0.859984397803304","0.6223007","0.457301514167055","0.6032011","0.98337762","0.593330996","0.5251510","0.611230738755155","0.801526191393703","0.8537318","0.7090347","0.6143590","0.104628031931412","0.7298083","0.6726179","0.4845791","0.9999376","0.6438538","0.5457543","0.4091263","0.999999583125837","0.4407264","0.999994956948808","0.559042238826061","0.999999013565313","0.6567366","0.6542753","0.52012737","1","0.97143189","0.7883819","0.349311960003455","0.5286565","0.33102767","0.6234990","0.142206247811521","0.47880176792046","0.599475803582894","0.969107465784044","0.5642617","0.4665732","0.42958647","0.632387304339226","0.31905674","0.36890174","0.5251316","0.450996236638814","0.999999717484354","0.6066998","0.7586777","0.5575070","0.999999978336996","0.5247893"
"ACG.AF8.R.AF8.SA","0.9190592","0.9989693","0.7970354","0.9999535","0.99999130921076","0.9109495","0.09350220285124","0.999997515933624","0.9999909","0.9836560","0.62538295","0.9591089","0.999998902702306","0.957785603152018","0.9457959","0.999771471273705","0.999999817105451","0.9999996","0.9990414","0.748351687737351","0.99992960","0.465624401713537","0.630289305858319","0.571014204578788","0.999968674003371","0.802200415793231","0.9997344","0.490366280520413","0.9703043","0.98067918","0.530265903","0.8126601","0.573427351237665","0.999999520632225","0.8031186","0.9996062","0.9841239","0.463156611368189","0.8067418","0.9669601","0.7534644","0.9999972","0.9999949","0.8221696","0.9999997","0.999999765281034","0.9920422","0.999904867053903","0.999273693067208","0.999999210945017","0.9999994","0.9999734","0.77688605","0.9975003","1","0.9999987","0.670241319587449","0.3971920","0.52948693","0.9996286","0.81129689019376","0.999998926438273","0.743297457789509","0.615601255326475","0.8561383","0.9978411","0.98094872","0.728603640905512","0.99815593","0.62770710","0.5967054","0.997684532148198","0.999999151384312","0.9996999","0.9997370","0.8117571","0.999985520409866","0.7508203"
"DCG.AF8.R.AF8.SA","0.7517952","0.9999997","0.9989299","0.8641635","0.999958583985891","0.9294753","0.768027224255971","0.999867208059773","0.7868630","0.9173397","0.58995433","0.9999022","0.999993824298325","0.697582754478833","0.8491715","0.999999973960491","0.999964253555474","0.8378060","0.6276018","0.468315263178271","0.95461844","0.718662001627984","0.492322267505006","0.515407500252947","0.999861767129116","0.908563622456579","0.9998945","0.600605669389863","0.5715166","0.75049858","0.346675701","0.9061383","0.866062567838361","0.999999984638265","0.8485876","0.9990392","0.6728980","0.702239765697279","0.7543173","0.9271339","0.9706338","0.9999531","0.7957251","0.7340306","0.5462253","0.876826607267567","0.8128270","0.833646014367665","0.996305902772309","0.999999947067078","0.9999980","0.9999993","0.85254547","0.8136531","0.99999800","1","0.621673517472942","0.6591399","0.45516225","0.6285749","0.306658978165801","0.593890521399745","0.461173938187905","0.378597285757471","0.8268280","0.9371909","0.86583287","0.693795145570333","0.39560560","0.56013677","0.8392304","0.999955048813737","0.999999997912989","0.9999044","0.6371761","0.7175121","0.999999528149671","0.9963736"
"PCG.AF8.R.AF8.SA","0.3806018","0.3236279","0.4522329","0.4321084","0.450773461067594","0.7262230","0","0.594610229458004","0.5887458","0.3837260","0.23421316","0.4195871","0.659553463077548","0.470916754981056","0.4466063","0","0.778072130952579","0.7945579","0.4136222","0.331104641469544","0.35019588","0","0.044315592130007","0.330428682499729","0","0.586789649094759","0.5463573","0.458250752019147","0.2550690","0.13025896","0.604320335","0.5446571","0.587034575512735","0.999997176879556","0.2205856","0.3218051","0.7012137","0.658248700060494","0.6176325","0.2152213","0.3984846","0.6606324","0.4636324","0.6809369","0.3084627","0.673262787775439","0.6056094","0.354551405554767","0","0","0.2788466","0.4787718","0.54129656","0.3907710","0.66482745","0.6276233","1","0.3597783","0.35536375","0.3128791","0.311963411177332","0.338071345713982","0.522969406631322","0.403826135969033","0.5238700","0.2730102","0.47061343","0.658575178294992","0.31241065","0.35156817","0.5849354","0.268173739678718","0.999999997941057","0.5771186","0.7503843","0.5834131","0.999998542021614","0.5138849"
"PHG.AF8.R.AF8.SA","0.5718371","0.4268750","0.6283361","0.5442630","0.572515289126095","0.5174940","0.66325087284626","0.458645904127736","0.4707015","0.5174218","0.48376855","0.5215840","0.593090127496605","0.340279687382797","0.5199277","0.91440180831215","0.39402856952271","0.6579042","0.9999998","0.327038075900909","0.58958026","0.307086268855973","0.357395483420028","0.535246183993107","0.999825762262261","0.634810584575006","0.6419938","0.693204967389221","0.6287149","0.99968703","0.624551633","0.6996888","0.243070407004803","0.999941641112651","0.4690782","0.5267452","0.6932512","0.839124511027177","0.4289978","0.4476615","0.5096769","0.5902001","0.5468195","0.7878281","0.5634087","0.342307083592469","0.7179834","0.999985617463773","0.372438092566446","0.999999817497675","0.8323153","0.6878073","0.52365741","0.5442825","0.41940550","0.6414589","0.356477206291554","1","0.48454863","0.5416818","0.557486196863118","0.397743903321694","0.587240403481952","0.303131421944861","0.4095824","0.5346658","0.55625178","0.665323180967092","0.37153564","0.48951187","0.5274213","0.741648006737243","0.999998513926582","0.6009591","0.6598403","0.6677647","0.999999979549262","0.6198554"
"CAL.AF8.R.AF8.SA","0.5553281","0.4593804","0.5467065","0.5433317","0.999999994852422","0.6884290","0.137313881508193","0.463671395702173","0.5716759","0.5414118","0.28901818","0.2886994","0.999912774629659","0.310733910601522","0.4962838","0.908821236181996","0.657598909677486","0.4372680","0.3267049","0.913798351973731","0.89049301","0.99997885413643","0.571996717244897","0.757529414293031","0.999983791638418","0.596073119504938","0.8615704","0.323836864061229","0.2249853","0.70816635","0.259097035","0.6196574","0.591618528836229","0.999993428557108","0.4593572","0.8854197","0.5130975","0.48496848665514","0.4428709","0.6133907","0.4765598","0.9999995","0.5539645","0.5403433","0.2981340","0.405865258236814","0.4258339","0.765038726803977","0.263573155958185","0.999999932696741","0.5133677","0.5106925","0.41274015","0.3548921","0.52510174","0.4343191","0.336652628456783","0.4878719","1","0.9379712","0.587623932741505","0.969705279079274","0.806573295510494","0.991006123247465","0.6511394","0.6438205","0.40750584","0.580291838087561","0.32107389","0.19157695","0.6309207","0.397737642482393","0.999999981681693","0.5718621","0.5774994","0.4730356","0.999998022844931","0.4172941"
"CUN.AF8.R.AF8.SA","0.6130932","0.5564680","0.4691391","0.6276340","0.996347492807051","0.5366802","0.761857191377034","0.313773494931928","0.6591209","0.5889502","0.40780278","0.6210363","0.999987321250347","0.999109358077857","0.5506874","0.984901550743274","0.43831369735368","0.2248629","0.4651078","0.608874876346075","0.94536459","0.834534324284431","0.77901478985734","0.687917428017001","0.839805176994354","0.892660729742269","0.6173098","0.513050447483428","0.5269629","0.65530304","0.278938743","0.7209338","0.284648567404965","0.999999610559814","0.7012035","0.5197312","0.5270285","0.291191147356045","0.4344278","0.6583785","0.4362156","0.6628576","0.6241829","0.5948126","0.3961488","0.634528404324301","0.2615619","0.906633781821377","0.584328924860533","0.999999986151387","0.5188558","0.6696231","0.71297336","0.6137306","0.94053743","0.5811368","0.285245683251203","0.5216283","0.94981488","1","0.735186045509062","0.944171156652789","0.63493904145612","0.663986638255735","0.6626267","0.6952408","0.48836663","0.338587109670288","0.42124946","0.17787416","0.6544285","0.424754105872203","0.99999997599535","0.7372273","0.4481707","0.4918993","0.999999849896924","0.7711865"
